Aa-ge
To-mas
Tor
To-ralf
Tor-ben
Tor-bjorn
Tord
Tore
To-rell
Tor-ger
Tor-gils
Tor-mod
To-rolf
Tor-rell
Tor-stein
Tor-sten
Tor-vald
Tove
Trond
Truls
Try-gve
Trym
Ture
Tuve
Ty
Ty-cho
Ty-ge
Ty-ko
Tyr
Ue-li
Ulf
Ull
Ul-rik
Ulv
U-ra-nus
Ur-ban
Val-de-mar
Val-der-mar
Val-di-mar
Va-len-tin
Val-frid
Val-ter
Va-li
Ve-gard
Vern
Ver-ner
Vetle
Vi-dar
Vid-kun
Vig-go
Vik-tor
Vil-fred
Vil-helm
Vil-le
Vin-cent
Wal-de-mar
Wal-fred
Wal-ter
Wer-ner
Wi-ar
Wi-dar
Wil-heim
Wil-helm
Wil-lem
Wil-lie
Wil-mer
Wol-de-mar
Y-mir
Yng-var
Yng-ve
Yo-rick
York
Yor-rick
Zak-ris
