Ace
Ka-lem
Ka-lum
Ke-es
Ke-le-men
Ke-pa-no
Ki-mo
Klau-di-usz
Kle-ment
Kli-ment
Kolm
Kon-stan-tin
Kon-stan-tyn
Kor-nel
Kost-ya
Kres-ten
Krisz-ti-an
Kry-styn
La-mar
Lar-kin
Lar-ry
Lars
Las-se
Las-si
La-ur
Lau-rel
Lau-ren
Lau-ren-co
Lau-rens
Lau-ren-tin
Lau-ren-ti-nus
Lau-ren-ti-us
Lau-rits
Lau-ritz
Law-rence
Law-son
Le-o
Le-on
Le-os
Lev
Li-an
Li-o-nel
Li-vy
Lo-ran
Lo-ren
Lo-renz
Lo-ren-zo
Lo-rin
Lo-rinc
Lou-ren-co
Lu-ce-ro
Lu-ci-an
Lu-ci-a-no
Lu-ci-en
Lu-ci-o
Lu-ci-us
Luc-ju-sz
Lu-cre-ti-us
Lux
Ma-ar-ku
Mag-nus
Ma-jor
Mak-sim
Ma-le-ko
Man-nis
Mans
Ma-nus
Marc-an-toi-ne
Mar-cas
Mar-cel
Mar-ce-li
Mar-cel-lo
Mar-cel-lus
Mar-ce-lo
Mar-chel-lo
Mar-ci-al
Mar-cin
Mar-co
Mar-cos
Mar-cus
Ma-rek
Ma-rin
Ma-rin-ho
Ma-ri-no
Ma-ri-o
Ma-ri-us
Ma-riu-sz
Mark
Mar-kel
Mar-quez
Mar-tel
Mar-tim
Mar-tin
Mart-ti
Mau-no
Mau-ri
Mau-rice
Mau-ri-ci-o
Mau-ri-zi-o
Mau-ro
Mau-ry
Mau-ry-cy
Max
Ma-xim
Max-i-mi-li-an
Max-i-mi-li-an-o
Ma-xi-mus
Mer-cu-ti-o
Mo
Mo-gens
Mon-ta-na
Mont-ser-rat
Mo-ritz
Mor-ris
Nat
Na-zar-i-o
Ne-mo
Ne-ro
No-el
O-ce-an
Oc-ta-vi-an
Oc-ta-vi-o
Oc-ta-vi-us
Ol-lie
O-ra
O-ta-vi-o
Ot-ta-vi-o
O-vid
Paa-vo
Pa-blo
Pa-ci-fi-co
Pa-co
Pa-draig
Pal
Pal-le
Pan-cho
Pa-o-lo
Par-nell
Pas-cal
Pas-coe
Pa-sha
Pas-qual
Pas-qua-le
Pa-tri-ci-o
Pa-trick
Pa-trik
Pa-tryk
Pat-ter-son
Pat-ton
Paul
Pau-li
Pau-li-nus
Pau-lo
Pa-vel
Pa-wel
Pearl
Pent-ti
Pe-re-grine
Perl
Per-nelle
Per-ry
Pe-tro-ni-us
Pip-pin
Pi-us
Pla-ci-do
Pla-ci-dus
Pol-lard
Po-lo-ni-us
Ponce
Pon-ti-us
Pon-tus
Por-fi-ri-o
Por-ter
Poul
Prin-ce
Proc-tor
Pros-pe-ro
Pu-bli-us
Quen-tin
Quest
Quin-cy
Ran-su
Re-gis
Re-mus
Re-my
Re-na-to
Re-na-tus
Re-ne
Ren-zo
Rex
Ro-ge-li-o
Ro-man
Ro-ma-no
Ro-me-o
Ro-mo-lo
Ro-mu-lus
Ron-nie
Ru-by
Sage
Sal-va-dor
Sal-va-tore
San-chez
San-cho
San-ti-no
San-tos
Sci-pi-o
Se-bas-ti-an
Se-bas-ti-an-o
Se-bas-ti-a-o
Se-bes-tyen
Se-ne-ca
Sep-po
Sep-tem-ber
Sep-ti-mus
Ser-gei
Ser-gi-o
Se-ve-rin
Se-ve-ri-no
Se-ve-ro
Sey-mour
Si-do-ni-us
Si-las
Sil-va-no
Sil-va-nus
Sil-ves-ter
Sil-ves-tr
Sil-ves-tro
Sil-vi-o
So-ren
Syl-vain
Syl-va-nus
Szil-vesz-ter
Ta-ci-tus
Tad
Ta-lon
Tar-quin
Tar-qui-ni-us
Tay-lor
Tem-ple
Te-rence
Ter-ti-us
Ti-be-ri-us
Ti-bor
Ti-to
Ti-tus
To-ni-o
To-ny
Tor-rance
To-ry
Tri-ni-dad
Tul-ly
Ur-bain
Ur-ban
Val
Vale
Va-lence
Va-len-tin
Va-len-tine
Va-len-ti-no
Va-le-ri-an
Va-le-ri-o
Va-li
Va-vri-nec
Ven-tu-ra
Vi-cen-te
Vick
Vic-tor
Vi-dal
Vik-tor
Vin-cenc
Vin-cent
Vin-son
Vir-gil
Vit
Vi-ta-le
Vi-to
Vi-tus
Vi-vi-an
Wa-len-ty
