A-de-line
Ghys-laine
Gi-gi
Gil-berte
Gi-nette
Gi-selle
Gi-sele
Gue-nie-vre
Gwe-na-elle
Gwen-do-line
Ge-ral-dine
Han-nah
Hay-dee
Hen-ri-ette
Her-mine
Ho-no-rine
Hor-tense
Hu-gu-ette
Hya-cinthe
He-loise
He-lene
I-nes
I-ris
I-rene
I-sa-bel
I-sa-belle
I-saure
Ja-cinthe
Jac-que-line
Jac-quette
Jade
Ja-nine
Jas-mine
Jea-nette
Jea-nine
Je-anne
Je-an-nette
Je-an-nine
Jes-si-ca
Jo-anne
Jo-ce-line
Jo-ce-lyn
Jo-ce-lyne
Jo-hanne
Jo-sette
Jo-si-ane
Jos-se-line
Jo-se-phe
Jo-see
Jo-se-phine
Jo-elle
Ju-dith
Ju-li-ane
Ju-lie
Ju-li-enne
Ju-li-ette
Jus-tine
Ka-rine 
Ka-ta-rin
Ka-tell
Lae-ti-tia
La-ra 
Lau-re
Lau-rence 
Lau-ren-tine
Lau-rette
Lau-rine
Li-li
Li-li-an
Li-li-ane
Li-li-anne
Li-lou
Lin-da
Line
Lise
Li-sette
Li-vie
Lo-ane
Lo-rette
Lou
Lou-ane
Lou-ise
Lou-i-sette
Lou-na
Luce
Lu-cette
Lu-cie
Lu-ci-enne
Lu-cile
Lu-cille
Lu-cinde
Lu-crece
Lu-di-vine
Ly-die
Ly-lou
Le-a
Le-one
Le-o-nide
Le-o-nie
Le-onne
Le-on-tine
Le-o-pol-dine
Ma-de-leine
Ma-de-line
Mae-la
Mae-va
Ma-ga-li
Ma-ga-lie
Ma-haut
Mai-lys
Ma-non
Ma-nu 
Mar-ce-line
Mar-celle
Mar-cel-lette
Mar-cel-line
Mar-gaux
Mar-got
Mar-gue-rite
Ma-ri 
Ma-ri-anne
Ma-rie
Ma-ri-elle
Ma-ri-ette
Ma-ri-lou
Ma-ri-lene
Ma-rine
Ma-ri-on 
Ma-rise
Mar-jo-laine
Mar-lene
Marthe
Mar-tine
Ma-ry-vonne
Ma-thilde
Ma-xi-mi-lienne
May-lis
Ma-elle
Ma-el-ys
Ma-i-a
Mi-che-line
Mi-chelle
Mi-chele
Mi-ra-belle
Mi-re-ille
Mo-des-te
Mo-des-tine
Mo-nique
Mor-gan 
Mor-gane
Mu-ri-el
Mu-ri-elle
My-lene
My-ri-am
Me-la-nie
Me-li-na
Me-line
Me-li-san-de
Me-lis-sa
Me-lo-die
Me-lo-dy
Na-di-a 
Na-dine
Na-dege
Nar-cis-se
Na-ta-cha
Na-tha-lie
Ni-cole
Ni-co-lette
Ni-na 
Ni-net-te
Ni-non
No-el-la
Nol-wenn
No-ele
Noe-mi
Noe-mie
No-elle
Oa-nez
O-ce-ane
O-dette
O-dile
O-li-vie
O-lympe
O-phe-lie
O-ri-ane
O-ri-anne
O-sanne
Pas-cale
Pas-ca-line
Pau-le
Pau-lette
Pau-line
Perle
Per-rine
Phi-lip-pine
Phi-lo-mene
Pi-err-ette
Pla-cide
Pris-cil-la
Pris-cille
Pru-dence
Prune
Pe-ne-lo-pe
Pe-tro-nille
Ra-chel
Ra-pha-elle
Ray-monde
Reine
Re-nee
Ro-berte
Ro-lande
Ro-maine
Ro-mane
Ro-sa-lie
Rose
Ro-selle
Ro-se-monde
Ro-sette
Ro-sine
Ro-xane
Ro-xanne
Ro-zenn
Re-bec-ca
Re-gine
Sa-bine
Sa-cha
Sa-lome
San-dra
San-drine
Sa-ra
Sa-rah
Sa-sha
Scho-las-tique
Ser-gine
Si-bylle
Si-do-nie
Si-mone 
Six-tine
So-lange
So-lene
So-phie
So-ra-ya
Ste-pha-nie
Su-zanne
Su-zette
Sy-bille
Syl-vaine
Syl-vi-ane
Syl-vi-anne
Syl-vie
Se-bas-tien-ne
Se-bire
Se-go-lene
Se-pho-ra
Se-ra-phine
Se-ve-rine
Ta-ti-enne
The-rese
Ti-phaine
Ti-pha-nie
Toi-nette
Va-len-tine 
Va-le-ri-ane
Va-le-rie
Vic-toire
Vic-to-rine
Vi-enne
Vi-o-lette
Vir-gi-nie
Vi-vi-ane
Vi-vi-anne
Vi-vi-enne
Ve-ro-ni-que
Ve-rene
Wan-da
Ya-nick
Yan-nic
Yan-nick
Yo-lan-de
Y-seult
Y-vette
Y-vonne
Zo-e
Ze-naide
Ze-phy-rine
Eve
E-dith
E-liane
E-li-sa-beth
E-lise
E-lo-die
E-loise
E-me-line
E-mi-lie
E-mi-lienne
E-ti-en-nette
E-ve-lyne
